空港・海港,国籍・地域,入国,alpha-3,lat,lon,年度
新千歳空港,全体,359.0,,42.775,141.692222,2011
仙台空港,全体,1.0,,38.136944,140.9225,2011
新潟空港,全体,13.0,,37.955833,139.120556,2011
東京国際空港（羽田空港）,全体,681.0,,35.553333,139.781111,2011
成田国際空港,全体,3270.0,,35.765278,140.385556,2011
中部国際空港,全体,251.0,,34.858333,136.805278,2011
関西国際空港,全体,1697.0,,34.434167,135.232778,2011
広島空港,全体,24.0,,34.436111,132.919444,2011
福岡空港,全体,397.0,,33.584444,130.451667,2011
那覇空港,全体,147.0,,26.205556,127.650833,2011
博多港,全体,109.0,,33.605133,130.397414,2011
その他,全体,48.0,,,,2011
新千歳空港,韓国,106.0,KOR,42.775,141.692222,2011
仙台空港,韓国,1.0,KOR,38.136944,140.9225,2011
新潟空港,韓国,4.0,KOR,37.955833,139.120556,2011
東京国際空港（羽田空港）,韓国,330.0,KOR,35.553333,139.781111,2011
成田国際空港,韓国,253.0,KOR,35.765278,140.385556,2011
中部国際空港,韓国,51.0,KOR,34.858333,136.805278,2011
関西国際空港,韓国,363.0,KOR,34.434167,135.232778,2011
広島空港,韓国,4.0,KOR,34.436111,132.919444,2011
福岡空港,韓国,201.0,KOR,33.584444,130.451667,2011
那覇空港,韓国,19.0,KOR,26.205556,127.650833,2011
博多港,韓国,102.0,KOR,33.605133,130.397414,2011
その他,韓国,19.0,KOR,,,2011
新千歳空港,台湾,147.0,TWN,42.775,141.692222,2011
仙台空港,台湾,0.0,TWN,38.136944,140.9225,2011
新潟空港,台湾,0.0,TWN,37.955833,139.120556,2011
東京国際空港（羽田空港）,台湾,150.0,TWN,35.553333,139.781111,2011
成田国際空港,台湾,395.0,TWN,35.765278,140.385556,2011
中部国際空港,台湾,53.0,TWN,34.858333,136.805278,2011
関西国際空港,台湾,351.0,TWN,34.434167,135.232778,2011
広島空港,台湾,4.0,TWN,34.436111,132.919444,2011
福岡空港,台湾,68.0,TWN,33.584444,130.451667,2011
那覇空港,台湾,44.0,TWN,26.205556,127.650833,2011
博多港,台湾,3.0,TWN,33.605133,130.397414,2011
その他,台湾,4.0,TWN,,,2011
新千歳空港,香港,41.0,HKG,42.775,141.692222,2011
仙台空港,香港,0.0,HKG,38.136944,140.9225,2011
新潟空港,香港,0.0,HKG,37.955833,139.120556,2011
東京国際空港（羽田空港）,香港,23.0,HKG,35.553333,139.781111,2011
成田国際空港,香港,169.0,HKG,35.765278,140.385556,2011
中部国際空港,香港,5.0,HKG,34.858333,136.805278,2011
関西国際空港,香港,131.0,HKG,34.434167,135.232778,2011
広島空港,香港,0.0,HKG,34.436111,132.919444,2011
福岡空港,香港,27.0,HKG,33.584444,130.451667,2011
那覇空港,香港,68.0,HKG,26.205556,127.650833,2011
博多港,香港,0.0,HKG,33.605133,130.397414,2011
その他,香港,3.0,HKG,,,2011
新千歳空港,中国,43.0,CHN,42.775,141.692222,2011
仙台空港,中国,0.0,CHN,38.136944,140.9225,2011
新潟空港,中国,2.0,CHN,37.955833,139.120556,2011
東京国際空港（羽田空港）,中国,70.0,CHN,35.553333,139.781111,2011
成田国際空港,中国,447.0,CHN,35.765278,140.385556,2011
中部国際空港,中国,80.0,CHN,34.858333,136.805278,2011
関西国際空港,中国,448.0,CHN,34.434167,135.232778,2011
広島空港,中国,8.0,CHN,34.436111,132.919444,2011
福岡空港,中国,53.0,CHN,33.584444,130.451667,2011
那覇空港,中国,9.0,CHN,26.205556,127.650833,2011
博多港,中国,0.0,CHN,33.605133,130.397414,2011
その他,中国,2.0,CHN,,,2011
新千歳空港,タイ,2.0,THA,42.775,141.692222,2011
仙台空港,タイ,0.0,THA,38.136944,140.9225,2011
新潟空港,タイ,0.0,THA,37.955833,139.120556,2011
東京国際空港（羽田空港）,タイ,5.0,THA,35.553333,139.781111,2011
成田国際空港,タイ,95.0,THA,35.765278,140.385556,2011
中部国際空港,タイ,7.0,THA,34.858333,136.805278,2011
関西国際空港,タイ,35.0,THA,34.434167,135.232778,2011
広島空港,タイ,0.0,THA,34.436111,132.919444,2011
福岡空港,タイ,8.0,THA,33.584444,130.451667,2011
那覇空港,タイ,0.0,THA,26.205556,127.650833,2011
博多港,タイ,0.0,THA,33.605133,130.397414,2011
その他,タイ,0.0,THA,,,2011
新千歳空港,シンガポール,1.0,SGP,42.775,141.692222,2011
仙台空港,シンガポール,0.0,SGP,38.136944,140.9225,2011
新潟空港,シンガポール,0.0,SGP,37.955833,139.120556,2011
東京国際空港（羽田空港）,シンガポール,6.0,SGP,35.553333,139.781111,2011
成田国際空港,シンガポール,51.0,SGP,35.765278,140.385556,2011
中部国際空港,シンガポール,4.0,SGP,34.858333,136.805278,2011
関西国際空港,シンガポール,10.0,SGP,34.434167,135.232778,2011
広島空港,シンガポール,0.0,SGP,34.436111,132.919444,2011
福岡空港,シンガポール,2.0,SGP,33.584444,130.451667,2011
那覇空港,シンガポール,0.0,SGP,26.205556,127.650833,2011
博多港,シンガポール,0.0,SGP,33.605133,130.397414,2011
その他,シンガポール,0.0,SGP,,,2011
新千歳空港,マレーシア,0.0,MYS,42.775,141.692222,2011
仙台空港,マレーシア,0.0,MYS,38.136944,140.9225,2011
新潟空港,マレーシア,0.0,MYS,37.955833,139.120556,2011
東京国際空港（羽田空港）,マレーシア,3.0,MYS,35.553333,139.781111,2011
成田国際空港,マレーシア,32.0,MYS,35.765278,140.385556,2011
中部国際空港,マレーシア,3.0,MYS,34.858333,136.805278,2011
関西国際空港,マレーシア,12.0,MYS,34.434167,135.232778,2011
広島空港,マレーシア,0.0,MYS,34.436111,132.919444,2011
福岡空港,マレーシア,6.0,MYS,33.584444,130.451667,2011
那覇空港,マレーシア,0.0,MYS,26.205556,127.650833,2011
博多港,マレーシア,0.0,MYS,33.605133,130.397414,2011
その他,マレーシア,1.0,MYS,,,2011
新千歳空港,インド,0.0,IND,42.775,141.692222,2011
仙台空港,インド,0.0,IND,38.136944,140.9225,2011
新潟空港,インド,0.0,IND,37.955833,139.120556,2011
東京国際空港（羽田空港）,インド,1.0,IND,35.553333,139.781111,2011
成田国際空港,インド,88.0,IND,35.765278,140.385556,2011
中部国際空港,インド,1.0,IND,34.858333,136.805278,2011
関西国際空港,インド,27.0,IND,34.434167,135.232778,2011
広島空港,インド,1.0,IND,34.436111,132.919444,2011
福岡空港,インド,0.0,IND,33.584444,130.451667,2011
那覇空港,インド,0.0,IND,26.205556,127.650833,2011
博多港,インド,0.0,IND,33.605133,130.397414,2011
その他,インド,0.0,IND,,,2011
新千歳空港,英国,0.0,GBR,42.775,141.692222,2011
仙台空港,英国,0.0,GBR,38.136944,140.9225,2011
新潟空港,英国,0.0,GBR,37.955833,139.120556,2011
東京国際空港（羽田空港）,英国,16.0,GBR,35.553333,139.781111,2011
成田国際空港,英国,140.0,GBR,35.765278,140.385556,2011
中部国際空港,英国,6.0,GBR,34.858333,136.805278,2011
関西国際空港,英国,11.0,GBR,34.434167,135.232778,2011
広島空港,英国,0.0,GBR,34.436111,132.919444,2011
福岡空港,英国,5.0,GBR,33.584444,130.451667,2011
那覇空港,英国,0.0,GBR,26.205556,127.650833,2011
博多港,英国,0.0,GBR,33.605133,130.397414,2011
その他,英国,0.0,GBR,,,2011
新千歳空港,ドイツ,0.0,DEU,42.775,141.692222,2011
仙台空港,ドイツ,0.0,DEU,38.136944,140.9225,2011
新潟空港,ドイツ,0.0,DEU,37.955833,139.120556,2011
東京国際空港（羽田空港）,ドイツ,1.0,DEU,35.553333,139.781111,2011
成田国際空港,ドイツ,99.0,DEU,35.765278,140.385556,2011
中部国際空港,ドイツ,6.0,DEU,34.858333,136.805278,2011
関西国際空港,ドイツ,38.0,DEU,34.434167,135.232778,2011
広島空港,ドイツ,0.0,DEU,34.436111,132.919444,2011
福岡空港,ドイツ,2.0,DEU,33.584444,130.451667,2011
那覇空港,ドイツ,0.0,DEU,26.205556,127.650833,2011
博多港,ドイツ,1.0,DEU,33.605133,130.397414,2011
その他,ドイツ,1.0,DEU,,,2011
新千歳空港,フランス,0.0,FRA,42.775,141.692222,2011
仙台空港,フランス,0.0,FRA,38.136944,140.9225,2011
新潟空港,フランス,0.0,FRA,37.955833,139.120556,2011
東京国際空港（羽田空港）,フランス,10.0,FRA,35.553333,139.781111,2011
成田国際空港,フランス,127.0,FRA,35.765278,140.385556,2011
中部国際空港,フランス,3.0,FRA,34.858333,136.805278,2011
関西国際空港,フランス,14.0,FRA,34.434167,135.232778,2011
広島空港,フランス,0.0,FRA,34.436111,132.919444,2011
福岡空港,フランス,0.0,FRA,33.584444,130.451667,2011
那覇空港,フランス,0.0,FRA,26.205556,127.650833,2011
博多港,フランス,0.0,FRA,33.605133,130.397414,2011
その他,フランス,2.0,FRA,,,2011
新千歳空港,ロシア,4.0,RUS,42.775,141.692222,2011
仙台空港,ロシア,0.0,RUS,38.136944,140.9225,2011
新潟空港,ロシア,7.0,RUS,37.955833,139.120556,2011
東京国際空港（羽田空港）,ロシア,1.0,RUS,35.553333,139.781111,2011
成田国際空港,ロシア,43.0,RUS,35.765278,140.385556,2011
中部国際空港,ロシア,0.0,RUS,34.858333,136.805278,2011
関西国際空港,ロシア,3.0,RUS,34.434167,135.232778,2011
広島空港,ロシア,0.0,RUS,34.436111,132.919444,2011
福岡空港,ロシア,0.0,RUS,33.584444,130.451667,2011
那覇空港,ロシア,0.0,RUS,26.205556,127.650833,2011
博多港,ロシア,0.0,RUS,33.605133,130.397414,2011
その他,ロシア,1.0,RUS,,,2011
新千歳空港,米国,11.0,USA,42.775,141.692222,2011
仙台空港,米国,0.0,USA,38.136944,140.9225,2011
新潟空港,米国,0.0,USA,37.955833,139.120556,2011
東京国際空港（羽田空港）,米国,28.0,USA,35.553333,139.781111,2011
成田国際空港,米国,652.0,USA,35.765278,140.385556,2011
中部国際空港,米国,10.0,USA,34.858333,136.805278,2011
関西国際空港,米国,114.0,USA,34.434167,135.232778,2011
広島空港,米国,5.0,USA,34.436111,132.919444,2011
福岡空港,米国,6.0,USA,33.584444,130.451667,2011
那覇空港,米国,3.0,USA,26.205556,127.650833,2011
博多港,米国,2.0,USA,33.605133,130.397414,2011
その他,米国,3.0,USA,,,2011
新千歳空港,カナダ,2.0,CAN,42.775,141.692222,2011
仙台空港,カナダ,0.0,CAN,38.136944,140.9225,2011
新潟空港,カナダ,0.0,CAN,37.955833,139.120556,2011
東京国際空港（羽田空港）,カナダ,8.0,CAN,35.553333,139.781111,2011
成田国際空港,カナダ,106.0,CAN,35.765278,140.385556,2011
中部国際空港,カナダ,1.0,CAN,34.858333,136.805278,2011
関西国際空港,カナダ,12.0,CAN,34.434167,135.232778,2011
広島空港,カナダ,0.0,CAN,34.436111,132.919444,2011
福岡空港,カナダ,0.0,CAN,33.584444,130.451667,2011
那覇空港,カナダ,1.0,CAN,26.205556,127.650833,2011
博多港,カナダ,0.0,CAN,33.605133,130.397414,2011
その他,カナダ,2.0,CAN,,,2011
新千歳空港,オーストラリア,1.0,AUS,42.775,141.692222,2011
仙台空港,オーストラリア,0.0,AUS,38.136944,140.9225,2011
新潟空港,オーストラリア,0.0,AUS,37.955833,139.120556,2011
東京国際空港（羽田空港）,オーストラリア,8.0,AUS,35.553333,139.781111,2011
成田国際空港,オーストラリア,105.0,AUS,35.765278,140.385556,2011
中部国際空港,オーストラリア,4.0,AUS,34.858333,136.805278,2011
関西国際空港,オーストラリア,21.0,AUS,34.434167,135.232778,2011
広島空港,オーストラリア,0.0,AUS,34.436111,132.919444,2011
福岡空港,オーストラリア,1.0,AUS,33.584444,130.451667,2011
那覇空港,オーストラリア,0.0,AUS,26.205556,127.650833,2011
博多港,オーストラリア,0.0,AUS,33.605133,130.397414,2011
その他,オーストラリア,0.0,AUS,,,2011
新千歳空港,その他,1.0,,42.775,141.692222,2011
仙台空港,その他,0.0,,38.136944,140.9225,2011
新潟空港,その他,0.0,,37.955833,139.120556,2011
東京国際空港（羽田空港）,その他,21.0,,35.553333,139.781111,2011
成田国際空港,その他,468.0,,35.765278,140.385556,2011
中部国際空港,その他,17.0,,34.858333,136.805278,2011
関西国際空港,その他,107.0,,34.434167,135.232778,2011
広島空港,その他,2.0,,34.436111,132.919444,2011
福岡空港,その他,18.0,,33.584444,130.451667,2011
那覇空港,その他,3.0,,26.205556,127.650833,2011
博多港,その他,1.0,,33.605133,130.397414,2011
その他,その他,10.0,,,,2011
新千歳空港,全体,1434.0,,42.775,141.692222,2012
仙台空港,全体,123.0,,38.136944,140.9225,2012
新潟空港,全体,14.0,,37.955833,139.120556,2012
東京国際空港（羽田空港）,全体,2992.0,,35.553333,139.781111,2012
成田国際空港,全体,13885.0,,35.765278,140.385556,2012
中部国際空港,全体,1454.0,,34.858333,136.805278,2012
関西国際空港,全体,5680.0,,34.434167,135.232778,2012
広島空港,全体,114.0,,34.436111,132.919444,2012
福岡空港,全体,1639.0,,33.584444,130.451667,2012
那覇空港,全体,644.0,,26.205556,127.650833,2012
博多港,全体,602.0,,33.605133,130.397414,2012
その他,全体,248.0,,,,2012
新千歳空港,韓国,311.0,KOR,42.775,141.692222,2012
仙台空港,韓国,34.0,KOR,38.136944,140.9225,2012
新潟空港,韓国,8.0,KOR,37.955833,139.120556,2012
東京国際空港（羽田空港）,韓国,1230.0,KOR,35.553333,139.781111,2012
成田国際空港,韓国,1197.0,KOR,35.765278,140.385556,2012
中部国際空港,韓国,254.0,KOR,34.858333,136.805278,2012
関西国際空港,韓国,1311.0,KOR,34.434167,135.232778,2012
広島空港,韓国,21.0,KOR,34.436111,132.919444,2012
福岡空港,韓国,811.0,KOR,33.584444,130.451667,2012
那覇空港,韓国,70.0,KOR,26.205556,127.650833,2012
博多港,韓国,587.0,KOR,33.605133,130.397414,2012
その他,韓国,69.0,KOR,,,2012
新千歳空港,台湾,656.0,TWN,42.775,141.692222,2012
仙台空港,台湾,62.0,TWN,38.136944,140.9225,2012
新潟空港,台湾,0.0,TWN,37.955833,139.120556,2012
東京国際空港（羽田空港）,台湾,834.0,TWN,35.553333,139.781111,2012
成田国際空港,台湾,1590.0,TWN,35.765278,140.385556,2012
中部国際空港,台湾,344.0,TWN,34.858333,136.805278,2012
関西国際空港,台湾,1214.0,TWN,34.434167,135.232778,2012
広島空港,台湾,34.0,TWN,34.436111,132.919444,2012
福岡空港,台湾,374.0,TWN,33.584444,130.451667,2012
那覇空港,台湾,224.0,TWN,26.205556,127.650833,2012
博多港,台湾,1.0,TWN,33.605133,130.397414,2012
その他,台湾,52.0,TWN,,,2012
新千歳空港,香港,186.0,HKG,42.775,141.692222,2012
仙台空港,香港,0.0,HKG,38.136944,140.9225,2012
新潟空港,香港,0.0,HKG,37.955833,139.120556,2012
東京国際空港（羽田空港）,香港,142.0,HKG,35.553333,139.781111,2012
成田国際空港,香港,789.0,HKG,35.765278,140.385556,2012
中部国際空港,香港,37.0,HKG,34.858333,136.805278,2012
関西国際空港,香港,341.0,HKG,34.434167,135.232778,2012
広島空港,香港,0.0,HKG,34.436111,132.919444,2012
福岡空港,香港,74.0,HKG,33.584444,130.451667,2012
那覇空港,香港,179.0,HKG,26.205556,127.650833,2012
博多港,香港,0.0,HKG,33.605133,130.397414,2012
その他,香港,3.0,HKG,,,2012
新千歳空港,中国,192.0,CHN,42.775,141.692222,2012
仙台空港,中国,25.0,CHN,38.136944,140.9225,2012
新潟空港,中国,1.0,CHN,37.955833,139.120556,2012
東京国際空港（羽田空港）,中国,377.0,CHN,35.553333,139.781111,2012
成田国際空港,中国,1919.0,CHN,35.765278,140.385556,2012
中部国際空港,中国,395.0,CHN,34.858333,136.805278,2012
関西国際空港,中国,1304.0,CHN,34.434167,135.232778,2012
広島空港,中国,52.0,CHN,34.436111,132.919444,2012
福岡空港,中国,183.0,CHN,33.584444,130.451667,2012
那覇空港,中国,149.0,CHN,26.205556,127.650833,2012
博多港,中国,3.0,CHN,33.605133,130.397414,2012
その他,中国,42.0,CHN,,,2012
新千歳空港,タイ,7.0,THA,42.775,141.692222,2012
仙台空港,タイ,0.0,THA,38.136944,140.9225,2012
新潟空港,タイ,0.0,THA,37.955833,139.120556,2012
東京国際空港（羽田空港）,タイ,12.0,THA,35.553333,139.781111,2012
成田国際空港,タイ,704.0,THA,35.765278,140.385556,2012
中部国際空港,タイ,75.0,THA,34.858333,136.805278,2012
関西国際空港,タイ,267.0,THA,34.434167,135.232778,2012
広島空港,タイ,0.0,THA,34.436111,132.919444,2012
福岡空港,タイ,64.0,THA,33.584444,130.451667,2012
那覇空港,タイ,1.0,THA,26.205556,127.650833,2012
博多港,タイ,0.0,THA,33.605133,130.397414,2012
その他,タイ,2.0,THA,,,2012
新千歳空港,シンガポール,6.0,SGP,42.775,141.692222,2012
仙台空港,シンガポール,0.0,SGP,38.136944,140.9225,2012
新潟空港,シンガポール,0.0,SGP,37.955833,139.120556,2012
東京国際空港（羽田空港）,シンガポール,74.0,SGP,35.553333,139.781111,2012
成田国際空港,シンガポール,442.0,SGP,35.765278,140.385556,2012
中部国際空港,シンガポール,11.0,SGP,34.858333,136.805278,2012
関西国際空港,シンガポール,62.0,SGP,34.434167,135.232778,2012
広島空港,シンガポール,0.0,SGP,34.436111,132.919444,2012
福岡空港,シンガポール,9.0,SGP,33.584444,130.451667,2012
那覇空港,シンガポール,1.0,SGP,26.205556,127.650833,2012
博多港,シンガポール,0.0,SGP,33.605133,130.397414,2012
その他,シンガポール,0.0,SGP,,,2012
新千歳空港,マレーシア,10.0,MYS,42.775,141.692222,2012
仙台空港,マレーシア,0.0,MYS,38.136944,140.9225,2012
新潟空港,マレーシア,0.0,MYS,37.955833,139.120556,2012
東京国際空港（羽田空港）,マレーシア,12.0,MYS,35.553333,139.781111,2012
成田国際空港,マレーシア,353.0,MYS,35.765278,140.385556,2012
中部国際空港,マレーシア,7.0,MYS,34.858333,136.805278,2012
関西国際空港,マレーシア,148.0,MYS,34.434167,135.232778,2012
広島空港,マレーシア,0.0,MYS,34.436111,132.919444,2012
福岡空港,マレーシア,14.0,MYS,33.584444,130.451667,2012
那覇空港,マレーシア,2.0,MYS,26.205556,127.650833,2012
博多港,マレーシア,0.0,MYS,33.605133,130.397414,2012
その他,マレーシア,0.0,MYS,,,2012
新千歳空港,インド,0.0,IND,42.775,141.692222,2012
仙台空港,インド,1.0,IND,38.136944,140.9225,2012
新潟空港,インド,0.0,IND,37.955833,139.120556,2012
東京国際空港（羽田空港）,インド,15.0,IND,35.553333,139.781111,2012
成田国際空港,インド,434.0,IND,35.765278,140.385556,2012
中部国際空港,インド,27.0,IND,34.858333,136.805278,2012
関西国際空港,インド,83.0,IND,34.434167,135.232778,2012
広島空港,インド,1.0,IND,34.436111,132.919444,2012
福岡空港,インド,6.0,IND,33.584444,130.451667,2012
那覇空港,インド,0.0,IND,26.205556,127.650833,2012
博多港,インド,0.0,IND,33.605133,130.397414,2012
その他,インド,8.0,IND,,,2012
新千歳空港,英国,5.0,GBR,42.775,141.692222,2012
仙台空港,英国,0.0,GBR,38.136944,140.9225,2012
新潟空港,英国,0.0,GBR,37.955833,139.120556,2012
東京国際空港（羽田空港）,英国,42.0,GBR,35.553333,139.781111,2012
成田国際空港,英国,716.0,GBR,35.765278,140.385556,2012
中部国際空港,英国,26.0,GBR,34.858333,136.805278,2012
関西国際空港,英国,56.0,GBR,34.434167,135.232778,2012
広島空港,英国,0.0,GBR,34.436111,132.919444,2012
福岡空港,英国,8.0,GBR,33.584444,130.451667,2012
那覇空港,英国,2.0,GBR,26.205556,127.650833,2012
博多港,英国,4.0,GBR,33.605133,130.397414,2012
その他,英国,4.0,GBR,,,2012
新千歳空港,ドイツ,4.0,DEU,42.775,141.692222,2012
仙台空港,ドイツ,0.0,DEU,38.136944,140.9225,2012
新潟空港,ドイツ,0.0,DEU,37.955833,139.120556,2012
東京国際空港（羽田空港）,ドイツ,23.0,DEU,35.553333,139.781111,2012
成田国際空港,ドイツ,509.0,DEU,35.765278,140.385556,2012
中部国際空港,ドイツ,46.0,DEU,34.858333,136.805278,2012
関西国際空港,ドイツ,103.0,DEU,34.434167,135.232778,2012
広島空港,ドイツ,1.0,DEU,34.436111,132.919444,2012
福岡空港,ドイツ,7.0,DEU,33.584444,130.451667,2012
那覇空港,ドイツ,1.0,DEU,26.205556,127.650833,2012
博多港,ドイツ,0.0,DEU,33.605133,130.397414,2012
その他,ドイツ,2.0,DEU,,,2012
新千歳空港,フランス,2.0,FRA,42.775,141.692222,2012
仙台空港,フランス,0.0,FRA,38.136944,140.9225,2012
新潟空港,フランス,0.0,FRA,37.955833,139.120556,2012
東京国際空港（羽田空港）,フランス,40.0,FRA,35.553333,139.781111,2012
成田国際空港,フランス,538.0,FRA,35.765278,140.385556,2012
中部国際空港,フランス,11.0,FRA,34.858333,136.805278,2012
関西国際空港,フランス,57.0,FRA,34.434167,135.232778,2012
広島空港,フランス,0.0,FRA,34.436111,132.919444,2012
福岡空港,フランス,2.0,FRA,33.584444,130.451667,2012
那覇空港,フランス,0.0,FRA,26.205556,127.650833,2012
博多港,フランス,1.0,FRA,33.605133,130.397414,2012
その他,フランス,3.0,FRA,,,2012
新千歳空港,ロシア,18.0,RUS,42.775,141.692222,2012
仙台空港,ロシア,0.0,RUS,38.136944,140.9225,2012
新潟空港,ロシア,5.0,RUS,37.955833,139.120556,2012
東京国際空港（羽田空港）,ロシア,3.0,RUS,35.553333,139.781111,2012
成田国際空港,ロシア,515.0,RUS,35.765278,140.385556,2012
中部国際空港,ロシア,4.0,RUS,34.858333,136.805278,2012
関西国際空港,ロシア,14.0,RUS,34.434167,135.232778,2012
広島空港,ロシア,1.0,RUS,34.436111,132.919444,2012
福岡空港,ロシア,2.0,RUS,33.584444,130.451667,2012
那覇空港,ロシア,1.0,RUS,26.205556,127.650833,2012
博多港,ロシア,0.0,RUS,33.605133,130.397414,2012
その他,ロシア,6.0,RUS,,,2012
新千歳空港,米国,12.0,USA,42.775,141.692222,2012
仙台空港,米国,1.0,USA,38.136944,140.9225,2012
新潟空港,米国,0.0,USA,37.955833,139.120556,2012
東京国際空港（羽田空港）,米国,94.0,USA,35.553333,139.781111,2012
成田国際空港,米国,2214.0,USA,35.765278,140.385556,2012
中部国際空港,米国,68.0,USA,34.858333,136.805278,2012
関西国際空港,米国,302.0,USA,34.434167,135.232778,2012
広島空港,米国,3.0,USA,34.436111,132.919444,2012
福岡空港,米国,30.0,USA,33.584444,130.451667,2012
那覇空港,米国,12.0,USA,26.205556,127.650833,2012
博多港,米国,3.0,USA,33.605133,130.397414,2012
その他,米国,20.0,USA,,,2012
新千歳空港,カナダ,3.0,CAN,42.775,141.692222,2012
仙台空港,カナダ,0.0,CAN,38.136944,140.9225,2012
新潟空港,カナダ,0.0,CAN,37.955833,139.120556,2012
東京国際空港（羽田空港）,カナダ,17.0,CAN,35.553333,139.781111,2012
成田国際空港,カナダ,573.0,CAN,35.765278,140.385556,2012
中部国際空港,カナダ,4.0,CAN,34.858333,136.805278,2012
関西国際空港,カナダ,32.0,CAN,34.434167,135.232778,2012
広島空港,カナダ,0.0,CAN,34.436111,132.919444,2012
福岡空港,カナダ,5.0,CAN,33.584444,130.451667,2012
那覇空港,カナダ,1.0,CAN,26.205556,127.650833,2012
博多港,カナダ,0.0,CAN,33.605133,130.397414,2012
その他,カナダ,4.0,CAN,,,2012
新千歳空港,オーストラリア,18.0,AUS,42.775,141.692222,2012
仙台空港,オーストラリア,0.0,AUS,38.136944,140.9225,2012
新潟空港,オーストラリア,0.0,AUS,37.955833,139.120556,2012
東京国際空港（羽田空港）,オーストラリア,26.0,AUS,35.553333,139.781111,2012
成田国際空港,オーストラリア,526.0,AUS,35.765278,140.385556,2012
中部国際空港,オーストラリア,7.0,AUS,34.858333,136.805278,2012
関西国際空港,オーストラリア,82.0,AUS,34.434167,135.232778,2012
広島空港,オーストラリア,0.0,AUS,34.436111,132.919444,2012
福岡空港,オーストラリア,9.0,AUS,33.584444,130.451667,2012
那覇空港,オーストラリア,0.0,AUS,26.205556,127.650833,2012
博多港,オーストラリア,0.0,AUS,33.605133,130.397414,2012
その他,オーストラリア,1.0,AUS,,,2012
新千歳空港,その他,4.0,,42.775,141.692222,2012
仙台空港,その他,0.0,,38.136944,140.9225,2012
新潟空港,その他,0.0,,37.955833,139.120556,2012
東京国際空港（羽田空港）,その他,51.0,,35.553333,139.781111,2012
成田国際空港,その他,866.0,,35.765278,140.385556,2012
中部国際空港,その他,138.0,,34.858333,136.805278,2012
関西国際空港,その他,304.0,,34.434167,135.232778,2012
広島空港,その他,1.0,,34.436111,132.919444,2012
福岡空港,その他,41.0,,33.584444,130.451667,2012
那覇空港,その他,1.0,,26.205556,127.650833,2012
博多港,その他,3.0,,33.605133,130.397414,2012
その他,その他,32.0,,,,2012
新千歳空港,全体,1286.0,,42.775,141.692222,2013
仙台空港,全体,128.0,,38.136944,140.9225,2013
新潟空港,全体,23.0,,37.955833,139.120556,2013
東京国際空港（羽田空港）,全体,2824.0,,35.553333,139.781111,2013
成田国際空港,全体,12866.0,,35.765278,140.385556,2013
中部国際空港,全体,1446.0,,34.858333,136.805278,2013
関西国際空港,全体,6181.0,,34.434167,135.232778,2013
